Title           , "bounds in memory" , "bounds in registers" , "difference"
"bubble sort"   , 277.4              , 223.3545455           , -54.04545455
"heap sort"     , 192.6              , 151.9363636           , -40.66363636
"binary search" , 119.1              , 134.0727273           , 14.97272727
"fft"           , 201.5              , 173.8909091           , -27.60909091
"xxtea"         , 100                , 92.28181818           , -7.718181818
"md5"           , 80.3               , 67.71818182           , -12.58181818
"rc5"           , 33.4               , 35.54545455           , 2.145454545
"coremark"      , 217.9              , 187.9636364           , -29.93636364
"average"       , 152.8              , 133.3363636           , -19.46363636
