# UPDATED 20180305

#X                  , total  , push/pop  ,  load/store   ,   mov(w)   ,   vm+other
1                   ,  56.3  ,      7.5  ,          31   ,      0.9   ,       16.9
2                   ,  58.2  ,     11.3  ,        29.2   ,      0.9   ,       16.9
3                   ,  51.2  ,       15  ,          16   ,      3.3   ,       16.9
4                   ,  53.1  ,     18.7  ,        14.2   ,      3.3   ,       16.9
5                   ,  42.5  ,     18.7  ,         1.3   ,      5.6   ,       16.9
6                   ,  51.9  ,     29.9  ,        -0.5   ,      5.6   ,       16.9
7                   ,  57.6  ,     37.4  ,        -2.3   ,      5.6   ,       16.9
